cell_ratio_x,cell_ratio_y
0.,0.
40.,0.
80.,0.
120.,0.
160.,0.
200.,0.
240.,0.
280.,0.
320.,0.
360.,0.
400.,0.
440.,0.
480.,0.
520.,0.
560.,0.
600.,0.
640.,0.
680.,0.
720.,0.
760.,0.
800.,0.
840.,0.
880.,0.
920.,0.
960.,0.
1000.,0.
1040.,0.
1080.,0.
1120.,0.
1160.,0.
1200.,0.
1240.,0.
1280.,0.
1320.,0.
1360.,0.
1400.,0.
1440.,0.
1480.,0.
1520.,0.
1560.,0.
1600.,0.
1640.,0.
1680.,0.
1720.,0.
1760.,0.
1800.,0.
1840.,0.
1880.,0.
1920.,0.
1960.,0.
2000.,0.
2040.,0.
2080.,0.
2120.,0.
2160.,0.
2200.,0.
2240.,0.
2280.,0.
2320.,0.
2360.,0.
2400.,0.
2440.,0.
2480.,0.
2520.,0.
2560.,0.
2600.,0.
2640.,0.
2680.,0.
2720.,0.
2760.,0.
2800.,0.
2840.,0.
2880.,0.
2920.,0.
2960.,0.
3000.,0.
3040.,0.
3080.,0.
3120.,0.
3160.,0.
3200.,0.
3240.,0.
3280.,0.
3320.,0.
3360.,0.
3400.,0.
3440.,0.
3480.,0.
3520.,0.
3560.,0.
3600.,0.
3640.,0.
3680.,0.
3720.,0.
3760.,0.
3800.,0.
3840.,0.
3880.,0.
3920.,0.
3960.,0.
4000.,0.
4040.,0.
4080.,0.
4120.,0.
4160.,0.
4200.,0.
4240.,0.
4280.,0.
4320.,0.
4360.,0.
4400.,0.
4440.,0.
4480.,0.
4520.,0.
4560.,0.
4600.,0.
4640.,0.
4680.,0.
4720.,0.
4760.,0.
4800.,0.
4840.,0.
4880.,0.
4920.,0.
4960.,0.
5000.,0.
5040.,0.
5080.,0.0322580645
5120.,0.0322580645
5160.,0.0322580645
5200.,0.0322580645
5240.,0.0322580645
5280.,0.0322580645
5320.,0.0322580645
5360.,0.0322580645
5400.,0.0322580645
5440.,0.0322580645
5480.,0.0322580645
5520.,0.0322580645
5560.,0.0322580645
5600.,0.0322580645
5640.,0.0322580645
5680.,0.0322580645
5720.,0.0322580645
5760.,0.0322580645
5800.,0.0333333333
5840.,0.0333333333
5880.,0.0625
5920.,0.0555555556
5960.,0.0540540541
6000.,0.0512820513
6040.,0.0465116279
6080.,0.0434782609
6120.,0.0392156863
6160.,0.0384615385
6200.,0.0377358491
6240.,0.0377358491
6280.,0.0363636364
6320.,0.0350877193
6360.,0.0350877193
6400.,0.0344827586
6440.,0.0333333333
6480.,0.0333333333
6520.,0.0333333333
6560.,0.0333333333
6600.,0.0338983051
6640.,0.0338983051
6680.,0.0338983051
6720.,0.0344827586
6760.,0.0344827586
6800.,0.0344827586
6840.,0.0517241379
6880.,0.0689655172
6920.,0.0677966102
6960.,0.0634920635
7000.,0.0597014925
7040.,0.0579710145
7080.,0.0555555556
7120.,0.0519480519
7160.,0.0512820513
7200.,0.0476190476
7240.,0.0465116279
7280.,0.0444444444
7320.,0.043956044
7360.,0.0430107527
7400.,0.0425531915
7440.,0.0412371134
7480.,0.0408163265
7520.,0.0404040404
7560.,0.0396039604
7600.,0.0392156863
7640.,0.0392156863
7680.,0.0392156863
7720.,0.0388349515
7760.,0.0388349515
7800.,0.0384615385
7840.,0.0576923077
7880.,0.0576923077
7920.,0.0679611650
7960.,0.0660377358
8000.,0.0660377358
