cell_ratio_x,cell_ratio_y
0.,0.
40.,0.
80.,0.
120.,0.
160.,0.
200.,0.
240.,0.
280.,0.
320.,0.
360.,0.
400.,0.
440.,0.
480.,0.
520.,0.
560.,0.
600.,0.
640.,0.03125
680.,0.0256410256
720.,0.04
760.,0.0333333333
800.,0.0266666667
840.,0.023255814
880.,0.0283018868
920.,0.0247933884
960.,0.0205479452
1000.,0.0186335404
1040.,0.0224719101
1080.,0.019138756
1120.,0.017167382
1160.,0.0156862745
1200.,0.0215053763
1240.,0.0198675497
1280.,0.0238805970
1320.,0.025
1360.,0.0227272727
1400.,0.023255814
1440.,0.0261437908
1480.,0.0263691684
1520.,0.025
1560.,0.0230088496
1600.,0.0245499182
1640.,0.0200308166
1680.,0.0188953488
1720.,0.0176630435
1760.,0.0179717587
1800.,0.0165680473
1840.,0.0166297118
1880.,0.0153846154
1920.,0.0164092664
1960.,0.0154125113
2000.,0.0142378559
2040.,0.0135891287
2080.,0.0129277567
2120.,0.0124724872
2160.,0.0122655123
2200.,0.0119298246
2240.,0.0123626374
2280.,0.0134770889
2320.,0.0130463144
2360.,0.0134099617
2400.,0.0131826742
2440.,0.013732834
2480.,0.0144291092
2520.,0.0136815920
2560.,0.0150943396
2600.,0.0145569620
2640.,0.0138626339
2680.,0.013950539
2720.,0.0139152435
2760.,0.0145661811
2800.,0.0153846154
2840.,0.0146124524
2880.,0.0145293746
2920.,0.013724267
2960.,0.0137758297
3000.,0.0138713745
3040.,0.0143480973
3080.,0.0141451415
3120.,0.0153751538
3160.,0.0157958688
3200.,0.0164935858
3240.,0.0166461159
3280.,0.0197652872
3320.,0.0190651907
3360.,0.0213414634
3400.,0.0230303030
3440.,0.0267152398
3480.,0.0280658938
3520.,0.0266182698
3560.,0.0262035344
3600.,0.028676022
3640.,0.0302655960
3680.,0.030625
3720.,0.0296529968
3760.,0.0290771176
3800.,0.0274656679
3840.,0.0273802116
3880.,0.02876798
3920.,0.0295930949
3960.,0.0303781773
4000.,0.0310173697
4040.,0.0304536979
4080.,0.0305867665
4120.,0.0311138768
4160.,0.0322989234
4200.,0.0345268542
4240.,0.0346820809
4280.,0.0359204618
4320.,0.037251124
4360.,0.0384122919
4400.,0.0370370370
4440.,0.0373952289
4480.,0.0369889682
4520.,0.0382868267
4560.,0.039921466
4600.,0.0407626561
4640.,0.0398953564
4680.,0.0391766268
4720.,0.0360721443
4760.,0.0364864865
4800.,0.0373134328
4840.,0.0368385800
4880.,0.0359281437
4920.,0.0365448505
4960.,0.0367936925
5000.,0.0377733598
5040.,0.0366911274
5080.,0.0368879946
5120.,0.0390309556
5160.,0.0397306397
5200.,0.0415814588
5240.,0.04101162
5280.,0.0420110193
5320.,0.0458015267
5360.,0.0450450450
5400.,0.0447042641
5440.,0.0449515906
5480.,0.044086774
5520.,0.0437196391
5560.,0.044077135
5600.,0.0438413361
5640.,0.0446615492
5680.,0.0475857243
5720.,0.0468085106
5760.,0.046250876
5800.,0.0422237861
5840.,0.0419874038
5880.,0.0429275158
5920.,0.0430486944
5960.,0.0427470217
6000.,0.0425230333
6040.,0.0422939068
6080.,0.0453237410
6120.,0.0481321839
6160.,0.0471356055
6200.,0.0481667865
6240.,0.0470673425
6280.,0.0484454085
6320.,0.0469992769
6360.,0.0483754513
6400.,0.0493827160
6440.,0.049598833
6480.,0.0507614213
6520.,0.0512265512
6560.,0.0523255814
6600.,0.0547445255
6640.,0.0522058824
6680.,0.0541141586
6720.,0.0544369873
6760.,0.0572065379
6800.,0.0568011958
6840.,0.0592705167
6880.,0.0609022556
6920.,0.0629264594
6960.,0.0608828006
7000.,0.0605143722
7040.,0.0599538816
7080.,0.0607225211
7120.,0.0596436871
7160.,0.0582298137
7200.,0.0590520591
7240.,0.0565891473
7280.,0.0568793236
7320.,0.0574272588
7360.,0.0557251908
7400.,0.0550943396
7440.,0.055513308
7480.,0.0521872602
7520.,0.0525908739
7560.,0.0527522936
7600.,0.0533130236
7640.,0.0544896393
7680.,0.0539513678
7720.,0.0547528517
7760.,0.0547528517
7800.,0.0566182096
7840.,0.0577069096
7880.,0.0582375479
7920.,0.0571646341
7960.,0.0547528517
8000.,0.0547528517
